IDQA,COORD_X,COORD_Y,ESTABLIMENT,TITULAR,GRUP_ACTIVITAT,EPIGRAF_DEI,EPIGRAF_PCAA,INFORME_PROGRAMA_2018,INFORME_PROGRAMA_2017,INFORME_PROGRAMA_2016,INFORME_PROGRAMA_2015,GEOMETRIA
33,412706,4604855,DIPOSIT CONTROLAT DE VACARISSES,"HERA HOLDING HABITAT ECOLOGIA Y RESTAURACION AMBIENTAL, SL",Gestor de residus - Dipòsit controlat,5.5,I.1 - 10.6,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/barcelona/V/W-00033-B1INS180286.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/barcelona/V/W-00033-B1INS170484.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/barcelona/V/33-B1INS160328-IW.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/barcelona/V/B1INS150308_hera_tratesa_vacarisses.pdf,POINT (412706 4604855)
34,504287.5,4644300,GRANJA LA VINYA,JOSEP DEVALL DALMAU,Explotació ramadera,9.3.b),I.1 - 11.1.b),-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/girona/F/34-G1INS160021.pdf,-,POINT (504287.5 4644300)
35,427137,4595030,MOREDA RIVIERE TREFILERIAS SA,MOREDA RIVIERE TREFILERIAS SA,Industrial,2.3.c),3.3 c),-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/barcelona/C/35_B1INS160552.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/barcelona/C/35-B1INS150642.pdf,POINT (427137 4595030)
36,358200,4615370,DIPÒSIT CONTROLAT DE LA SEGARRA,CONSELL COMARCAL DE LA SEGARRA,Gestor de residus - Dipòsit controlat,5.5,I.1 - 10.6,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/lleida/C/W-00036-L1INS180481.pdf,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/lleida/C/36-L1INS160230-IW.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/lleida/C/L1INS150283_diposit_segarra_cervera.pdf,POINT (358200 4615370)
37,326238,4626149,GRANJA PEDROS,JOSEP MARIA PEDROS CARBI,Explotació ramadera,9.3.b),I.1 - 11.1.b),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/lleida/B/W-00037-L1INS180476.pdf,-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/lleida/B/L1INS150055_pedros_bellcaire.pdf,POINT (326238 4626149)
38,345250,4565500,BALL BEVERAGE PACKAGING IBERICA,"BALL BEVERAGE PACKAGING IBERICA, SL",Industrial,10.1,I.1 - 12.2,-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/tarragona/S/38-T1INS160053.pdf,-,POINT (345250 4565500)
41,312276,4603522,GRANJA BIOSCA BOSCH,"BOSCH LLUSA, MARIA",Explotació ramadera,9.3.b),I.1 - 11.1.b),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/lleida/T/W-00041-L1INS180210.pdf,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/lleida/T/W-00041-L1INS160092.pdf,-,POINT (312276 4603522)
11,480115,4671813,GRANJA DOSQUERS,"INPRA, S.A.",Explotació ramadera,9.3.a),I.1 - 11.1.a),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/girona/M/W-00011-G1INS180178.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/girona/M/W-00011-G1INS170200.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/girona/M/11-G1INS160159.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/girona/M/G1INS150041_inpra_maia.pdf,POINT (480115 4671813)
13,368242,4612078,GRANJA YAK,"YAK FABRICA DE PINSOS COMPOSTOS, SL",Explotació ramadera,9.3.a),I.1 - 11.1.a),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/lleida/S/W-00013-L1INS180138.pdf,-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/lleida/S/L1INS150049_lafabrica_guim.pdf,POINT (368242 4612078)
14,347465,4575730,ESSITY SPAIN (LA RBA),"ESSITY SPAIN, SLU",Industrial,6.1.b,I.1 - 9.2,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/tarragona/R/W-00014-T1INS180057.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/tarragona/R/W-00014-T1INS170011.pdf,-,-,POINT (347465 4575730)
15,435921,4600104,ARKEMA QUÍMICA (PLANTA MOLLET DEL VALLES),"ARKEMA QUIMICA, SAU",Industrial,4.1.b),I.1 - 5.1.b),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/barcelona/M/W-00015-B1INS180073.pdf,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/barcelona/M/15_B1INS160185.pdf,-,POINT (435921 4600104)
16,483000,4662650,ABOCADOR COMARCAL DE PUIGPALTER,CONSELL COMARCAL PLA ESTANY,Gestor de residus - Dipòsit controlat,5.5,I.1 - 10.6,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/girona/B/W-00016-G1INS170027.pdf,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/girona/B/G1INS150021_CC_estany_banyoles.pdf,POINT (483000 4662650)
19,502787.5,4675487.5,GRANJA ELS ASPRES,"EXPLOTACIONS ARTIGAS, SLU",Explotació ramadera,9.3.c),I.1 - 11.1.c),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/girona/R/W-00019-G1INS170071.pdf,-,-,POINT (502787.5 4675487.5)
20,430241,4592929,"POLYCASA SPAIN, S.A.","POLYCASA SPAIN, S.A.",Industrial,4.1.h),I.1 - 5.1.h),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/barcelona/M/W-00020-B1INS170419.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/barcelona/M/20_B1INS160329.pdf,-,POINT (430241 4592929)
21,459888,4617141,"OXIRIS CHEMICALS, S.A.",OXIRIS CHEMICALS S.A.,Industrial,4.1.b),I.1 - 5.1.b),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/barcelona/S/W-00021-B1INS180117.pdf,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/barcelona/S/21_B1INS160436.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/barcelona/S/21-B1INS150319.pdf,POINT (459888 4617141)
22,434319,4658472,DIPÒSIT CONTROLAT ORIS,CONSORCI PER A LA GESTIÓ DE RESIDUS URBANS D'OSONA,Gestor de residus - Dipòsit controlat,5.5,I.1 - 10.6,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/barcelona/O/W-00022-B1INS180480.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/barcelona/O/W-00022-B1INS170459.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/barcelona/O/22-B1INS160484-IW.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/barcelona/O/22-B1INS150102.pdf,POINT (434319 4658472)
25,437955,4604115,UQUIFA-LLIÇÀ DE VALL,UNIÓN QUÍMICO FARMACÉUTICA (UQUIFA),Industrial,4.5,I.1 - 5.5,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/barcelona/L/W-00025-B1INS170177.pdf,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/barcelona/L/25-B1INS150414.pdf,POINT (437955 4604115)
